## Torsion are defined with the following atomIDs:
# dihed1: ai= 2462 aj= 2461 ak= 2460 al= 2458
# dihed2: ai= 2455 aj= 2454 ak= 2453 al= 2451
# dihed3: ai= 2454 aj= 2453 ak= 2451 al= 2450
# dihed4: ai= 2453 aj= 2451 ak= 2450 al= 2449
# dihed5: ai= 2436 aj= 2435 ak= 2434 al= 2431
# dihed6: ai= 2447 aj= 2436 ak= 2437 al= 2439
# dihed7: ai= 2436 aj= 2437 ak= 2439 al= 2440
# dihed8: ai= 2430 aj= 2429 ak= 2428 al= 2427
# dihed9: ai= 2429 aj= 2428 ak= 2427 al= 2423
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9
237   50.066 -103.475  -20.115  121.066  -80.839    0.102   98.893 -133.621   71.081
238   43.226  -92.094  -27.983  132.017  -62.065  -11.459  116.558 -123.663   68.499
239   58.551 -105.755  -23.427  133.930  -83.980   11.624   85.018 -117.223   84.040
240   51.037 -100.092  -21.937  130.531  -88.076  -17.681  105.971 -139.078  116.647
241  164.879  -90.481  -27.810  119.909  -88.335  -17.417  103.446 -122.421   80.259
242  162.280  -98.130  -18.389  105.113 -120.694   17.749   97.277 -111.425   88.171
243  175.210 -102.459  -19.333  128.224  -94.155  -18.004  100.277 -165.887   82.278
244  156.792  -82.042  -21.062  141.810  -67.475   -7.026   98.628 -152.127  146.759
245 -177.227  -92.873  -23.715  121.388  -80.621    3.887   89.660 -129.640   51.921
246  138.450 -100.490  -20.216  118.200 -126.090   -4.439   98.287 -107.662   28.904
247 -176.972 -113.425  -17.500  122.965  -90.855  -32.461  120.218 -169.356  138.389
248  146.364  -82.830   -9.089  128.308  -95.418    4.180   76.425 -128.416   90.429
249  -68.043  -84.293  -25.228  130.956  -79.740   10.887   72.074 -148.250   59.230
250  -90.210  -83.920  -20.264  115.054  -87.353    8.398  106.198 -136.668   83.891
251  147.933 -109.993   -2.914  121.438  -94.700   -4.430  104.379 -154.529  142.200
252  -96.513  -98.302  -28.071  120.969  -84.513    4.240   56.838 -147.373  143.336
253   59.553 -102.519  -17.185  126.190  -88.086   12.382   56.964 -124.359   92.210
254   68.130 -125.005   -1.286  125.897  -84.635    1.100   99.102 -137.967  152.971
255  -54.567 -112.431  -15.864  125.270  -96.963    7.860  107.159  177.158  167.667
256  -51.201 -109.824  -12.608  127.432  -85.737   -3.192  110.196 -119.753   94.405
257  -72.882 -135.016  -10.738  129.171  -50.856   -6.774  107.140 -166.264  126.521
258 -161.654 -112.582  -16.416  126.383  -84.353    7.561   77.850 -162.329  161.144
259  164.200  -97.162  -15.642  109.588  -94.950    3.966  103.956 -117.729   52.310
260  167.314  -70.446  -37.959  135.328  -73.230    1.791   70.530 -119.143  133.021
261 -176.720  -88.092  -30.525  126.479  -69.835    4.492   70.285 -124.390  132.172
262   65.160 -110.775  -16.308  136.933  -62.600  -30.785  133.146 -149.722   64.264
263   46.702  -99.463  -11.110  136.958  -73.779  -35.504  105.022 -155.381  162.639
264   47.006  -83.733  -28.340  125.126  -93.803   12.334   82.466 -103.088   88.282
265   53.824  -62.719  -15.701  118.394 -133.399   11.412   92.086 -142.988   73.201
266 -179.668 -104.111  -18.877  137.034  -75.521  -21.328  101.881 -133.286  125.666
267  171.240  -94.169  -11.753  137.022  -88.816  -19.634   99.855 -150.686  149.647
268  171.943  -86.562  -14.446  146.558  -92.534  -14.879  117.073 -136.891   50.707
