## Torsion are defined with the following atomIDs:
# dihed1: ai= 2464 aj= 2463 ak= 2462 al= 2461
# dihed2: ai= 2463 aj= 2462 ak= 2461 al= 2460
# dihed3: ai= 2462 aj= 2461 ak= 2460 al= 2451
# dihed4: ai= 2452 aj= 2451 ak= 2450 al= 2448
# dihed5: ai= 2451 aj= 2450 ak= 2448 al= 2440
# dihed6: ai= 2450 aj= 2448 ak= 2440 al= 2441
# dihed7: ai= 2441 aj= 2440 ak= 2439 al= 2438
# dihed8: ai= 2439 aj= 2440 ak= 2441 al= 2442
# dihed9: ai= 2440 aj= 2441 ak= 2442 al= 2443
# dihed10: ai= 2441 aj= 2442 ak= 2443 al= 2444
# dihed11: ai= 2446 aj= 2443 ak= 2444 al= 2445
# dihed12: ai= 2444 aj= 2443 ak= 2446 al= 2447
# dihed13: ai= 2440 aj= 2439 ak= 2438 al= 2435
# dihed14: ai= 2434 aj= 2433 ak= 2432 al= 2431
# dihed15: ai= 2430 aj= 2425 ak= 2426 al= 2427
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10  dihed11  dihed12  dihed13  dihed14  dihed15
73  -77.616 -176.472 -155.442   88.129  141.733   11.664 -132.842   86.491  177.928  109.822  162.429 -154.187   37.553  -52.453 -158.737
74  -62.937  166.041 -171.358   88.553  141.323    8.288 -119.485   82.148 -173.856  125.182  173.604 -156.891   30.032  -48.750  -37.476
75  -66.121  158.266 -154.593   85.851  147.300   10.478 -133.977   92.007 -172.458   92.160  175.540 -154.212   57.209  -60.559 -115.261
76  -80.138  172.571 -163.208   88.345  140.122   20.864 -127.671   95.732  176.206  117.219 -178.551  179.647   40.167 -127.803 -166.917
77  -93.274  171.482 -152.801   95.701  140.854   17.136 -128.950   91.141  179.561  109.911  169.941 -166.224   56.487 -134.523  -17.744
78  -72.268  167.126 -159.567   78.876  158.908    3.366 -109.064   93.222  161.936  107.878  171.622 -158.633   80.669 -122.721 -140.032
79  -72.597  177.824 -160.663   71.148  174.378   -3.528 -107.820  110.303  163.005   61.499   70.393 -155.684   54.606 -151.035  -93.759
80  -59.991  137.159 -159.794   81.903  168.703   -0.655 -132.456  100.146  172.067   66.384  119.429 -155.096   67.460  -38.171  -36.185
81  -86.843 -178.004 -148.814   86.798  152.511   18.381 -126.703  107.272  161.166   64.358   71.826 -157.718   72.704 -126.813 -110.473
82  -44.325  150.351 -170.541   66.312  158.600   22.215 -134.098   86.752  175.959   68.317   82.585 -154.656   61.048 -155.640  -35.853
83  -71.997  172.418 -155.469   86.567  158.989   -2.351 -123.153   86.976 -173.089   91.755   50.194 -172.640   87.985 -167.133  -21.196
84  -52.724  165.370  174.591   78.602 -171.950  -17.773 -127.132   99.268  167.701   67.917   53.088 -132.109   36.174  -45.681 -133.261
85  -50.852  165.063  169.994   81.989  174.571    3.865 -119.606  103.096  162.160   71.181   71.024 -177.679   81.265   51.348  100.898
86  -89.435  177.617 -157.819   72.077  177.937    8.620 -122.970   84.191 -179.876   79.457   88.337 -147.948   80.843   47.240   86.244
87  -85.251 -174.920 -175.327   89.624  151.774   13.396 -129.535   91.543  166.904   63.857   71.333 -153.324   83.144   61.397  115.489
88  -82.127  168.399 -144.779   91.248  156.129    0.222 -122.698   85.162  166.148   68.448   63.838 -140.757   59.472   65.553  111.118
89  -67.688 -164.901 -167.615   73.541  156.148   -0.685 -119.480  107.918  161.554   53.834   41.177 -174.418   81.594   37.502   94.623
90  -87.314  171.922 -151.042   81.521  164.279   -2.099 -141.781   88.588  170.046  102.568   69.326 -158.712   48.568  131.514   83.136
91  -97.735  154.194 -147.529   84.685  141.708   17.443 -137.035  102.289  171.226   91.065   93.054 -156.448   40.849  132.079   77.082
92  -55.834  144.078 -154.373   91.839  161.056   13.096 -140.481   77.781  172.872   86.379   72.704 -171.297   41.408  124.225   54.880
93  -55.998  139.324 -169.657   92.683  167.395  -14.920 -121.722  106.419  178.448   66.954  101.668 -150.692   55.585  125.924   60.810
94  -90.277  155.822 -154.848   81.915  154.719   12.479 -117.151   84.163  169.815   74.919   82.327 -143.961   73.331   51.748 -108.535
95  -61.038  176.674 -172.558   99.808  156.606    2.936 -122.314   80.879  164.925   82.506   69.096 -150.585   38.248   18.151 -176.770
96  -75.354  161.517 -176.442   90.004  159.601    5.109 -117.928  100.086  172.688   78.282   52.077  179.029   13.535   60.440  146.595
97  -55.580  156.673 -171.159   78.768  154.989    7.989 -114.183   85.478  169.952   60.330  128.152 -158.929   94.761  152.323 -132.608
98  -76.027  158.910 -160.788   88.402  156.961   10.267 -127.332   99.100  170.543   73.834   59.856 -152.511   67.368  134.016  -39.111
99  -55.006  166.189 -159.978   97.688  158.308    1.763  -97.366   90.462  162.664   64.321   65.932 -167.029   89.615  123.198 -127.895
100  -70.134  165.828  177.454   87.625  160.289  -17.842  -70.253   96.003 -176.408   86.347   84.100 -142.750  143.321   80.322  -24.775
101  -49.276  161.941  164.377   91.855  162.580  -13.243  -84.739   97.144 -179.561   82.579   81.444 -163.854  118.278   44.416   59.209
102  -60.738  159.426  159.052   96.359  170.074   -5.859 -107.178  110.448  165.488   73.692   65.487 -175.477   88.154  145.166   91.342
103  -78.489  164.995 -168.655   92.086  160.859    1.106  -87.446  103.784  179.995   59.929   53.689 -165.883   71.806  106.374  158.970
104  -35.028  142.115  167.399   85.313  166.142  -11.619  -99.243   81.805  173.096   86.910   87.120 -149.711   12.946  113.533 -179.100
105  -57.600  177.014 -168.842   85.540 -177.579    4.081 -101.098  115.854 -177.223   70.442   75.886 -152.079  -27.462  120.377  145.119
106  -66.090  171.127 -174.973   88.511  168.775  -14.009  -76.341  104.379  170.527   49.586   74.434 -127.641  -47.878   81.586 -122.526
107  -65.281  178.944  176.358   86.151  174.164   -4.639  -89.012   94.859  168.563   66.485   61.662  172.627  -70.527  141.564  174.625
108  -75.641 -171.304 -152.778   90.926  173.275  -28.700  -81.275  103.783 -179.322   63.514  134.749  -69.703 -104.048  108.149   50.918
109 -117.987  162.050  179.828  102.194  166.993  -18.369  -88.358   98.331 -172.346   65.222  108.706 -164.022  -56.540   59.156  151.694
110  -49.873  167.059 -178.619   71.586  167.276    3.218  -86.885  103.724  171.728   76.506   57.035 -175.412  -23.262  -38.227   60.367
111  -87.344 -178.695  178.309   97.480  179.203  -20.366  -78.729  112.776  172.237   72.088   78.661 -156.013  -31.591  -48.822  119.662
112  -42.644  152.714  177.527   98.989  172.001    4.375 -128.994   97.707  166.028   89.058   87.424 -172.488   80.174  -34.344   44.541
113  -44.175  149.004 -173.248   95.884 -172.468   10.294 -115.613  101.528  173.543   62.833   92.296 -136.842   25.560  -23.098   22.641
114  -90.839  161.649  176.214   82.339 -159.990   -0.634 -111.233  120.169  178.078  107.202  173.681 -143.946   88.972 -139.891   89.625
115  -73.830  159.863 -176.687   86.169  174.487    3.033  -64.050  114.337 -165.931  121.426  174.298 -154.368  137.105   55.088  167.503
